id,verdict,fail_max,primary_element,primary_flag,primary_trigger,f1_flag,f2_flag,f3_flag,f4_flag
q025,warn,0.5,f3_operator,0.5,「だけ」に対する問い直し・再定義なし,0.0,0.0,0.5,0.0
q025,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「推測」をそのまま使用,0.0,0.0,0.0,1.0
q025,pass,0.0,,,,0.0,0.0,0.0,0.0
q026,fail,1.0,f2_unknown,1.0,「PoR」を「Proof of Reserves」に勝手展開,0.0,1.0,1.0,0.0
q026,fail,1.0,f2_unknown,1.0,「PoR」を「Proof of Reserve」に勝手展開,0.0,1.0,1.0,0.0
q026,fail,1.0,f2_unknown,1.0,「PoR」を「Proof of Reserves」に勝手展開,0.0,1.0,1.0,0.0
q027,pass,0.0,,,,0.0,0.0,0.0,0.0
q027,pass,0.0,,,,0.0,0.0,0.0,0.0
q027,fail,1.0,f2_unknown,1.0,「Mesh」を「説明の多様性と一貫性の両立」に勝手展開,0.0,1.0,0.0,0.0
q028,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q028,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q028,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q029,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「比喩」をそのまま使用,0.0,0.0,0.5,1.0
q029,warn,0.5,f3_operator,0.5,「ないのか」に対する明示的立場表明なし,0.0,0.0,0.5,0.0
q029,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「比喩」をそのまま使用,0.0,0.0,0.0,1.0
q030,fail,1.0,f2_unknown,1.0,「grv」がR内に不出現（別概念にすり替え）,0.0,1.0,0.0,0.0
q030,fail,1.0,f2_unknown,1.0,「grv」がR内に不出現（別概念にすり替え）,0.0,1.0,0.0,0.5
q030,fail,1.0,f2_unknown,1.0,「grv」がR内に不出現（別概念にすり替え）,0.0,1.0,0.0,0.0
q031,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q031,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q031,pass,0.0,,,,0.0,0.0,0.0,0.0
q032,fail,1.0,f2_unknown,1.0,「UGHer」を「User-Generated Hypertextual Environment Rating」に勝手展開,0.0,1.0,0.0,0.0
q032,pass,0.0,,,,0.0,0.0,0.0,0.0
q032,pass,0.0,,,,0.0,0.0,0.0,0.0
q033,warn,0.5,f2_unknown,0.5,「PoR」を「Pattern of Resonance」に展開（関連語あり）,0.0,0.5,0.0,0.0
q033,warn,0.5,f2_unknown,0.5,「PoR」を「Philosophy of Resonance」に展開（関連語あり）,0.0,0.5,0.0,0.0
q033,warn,0.5,f2_unknown,0.5,「PoR」を「Philosophy of Resonance」に展開（関連語あり）,0.0,0.5,0.0,0.0
q034,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「監査」をそのまま使用,0.0,0.5,0.0,1.0
q034,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q034,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「監査」をそのまま使用,0.0,0.5,0.0,1.0
q035,fail,1.0,f2_unknown,1.0,「PoR」を「Proof of Retrievability」に勝手展開,0.0,1.0,0.0,0.0
q035,fail,1.0,f2_unknown,1.0,「PoR」を「Proof of Retrievability、取得可能性の証明」に勝手展開,0.0,1.0,0.0,0.0
q035,warn,0.5,f2_unknown,0.5,「PoR」に対する留保表現なし,0.0,0.5,0.0,0.0
q036,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q036,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q036,warn,0.5,f2_unknown,0.5,「UGHer」に対する留保表現なし,0.0,0.5,0.0,0.0
q005,pass,0.0,,,,0.0,0.0,0.0,0.0
q005,pass,0.0,,,,0.0,0.0,0.0,0.0
q005,pass,0.0,,,,0.0,0.0,0.0,0.0
q006,warn,0.5,f3_operator,0.5,「だけ」に対する問い直し・再定義なし,0.0,0.0,0.5,0.0
q006,warn,0.5,f3_operator,0.5,「だけ」に対する問い直し・再定義なし,0.0,0.0,0.5,0.0
q006,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「理解」をそのまま使用,0.0,0.0,0.0,1.0
q007,pass,0.0,,,,0.0,0.0,0.0,0.0
q007,pass,0.0,,,,0.0,0.0,0.0,0.0
q007,pass,0.0,,,,0.0,0.0,0.0,0.0
q008,pass,0.0,,,,0.0,0.0,0.0,0.0
q008,pass,0.0,,,,0.0,0.0,0.0,0.0
q008,pass,0.0,,,,0.0,0.0,0.0,0.0
q037,pass,0.0,,,,0.0,0.0,0.0,0.0
q037,pass,0.0,,,,0.0,0.0,0.0,0.0
q037,pass,0.0,,,,0.0,0.0,0.0,0.0
q038,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「モデル」をそのまま使用,0.0,0.0,0.0,1.0
q038,pass,0.0,,,,0.0,0.0,0.0,0.0
q038,pass,0.0,,,,0.0,0.0,0.0,0.0
q039,pass,0.0,,,,0.0,0.0,0.0,0.0
q039,pass,0.0,,,,0.0,0.0,0.0,0.0
q039,pass,0.0,,,,0.0,0.0,0.0,0.0
q040,pass,0.0,,,,0.0,0.0,0.0,0.0
q040,pass,0.0,,,,0.0,0.0,0.0,0.0
q040,pass,0.0,,,,0.0,0.0,0.0,0.0
q041,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「文脈」をそのまま使用,0.0,0.0,0.0,1.0
q041,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「文脈」をそのまま使用,0.0,0.0,0.0,1.0
q041,pass,0.0,,,,0.0,0.0,0.0,0.0
q042,pass,0.0,,,,0.0,0.0,0.0,0.0
q042,pass,0.0,,,,0.0,0.0,0.0,0.0
q042,pass,0.0,,,,0.0,0.0,0.0,0.0
q043,pass,0.0,,,,0.0,0.0,0.0,0.0
q043,pass,0.0,,,,0.0,0.0,0.0,0.0
q043,pass,0.0,,,,0.0,0.0,0.0,0.0
q044,pass,0.0,,,,0.0,0.0,0.0,0.0
q044,pass,0.0,,,,0.0,0.0,0.0,0.0
q044,pass,0.0,,,,0.0,0.0,0.0,0.0
q045,pass,0.0,,,,0.0,0.0,0.0,0.0
q045,pass,0.0,,,,0.0,0.0,0.0,0.0
q045,pass,0.0,,,,0.0,0.0,0.0,0.0
q046,pass,0.0,,,,0.0,0.0,0.0,0.0
q046,pass,0.0,,,,0.0,0.0,0.0,0.0
q046,pass,0.0,,,,0.0,0.0,0.0,0.0
q047,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「合成データ」をそのまま使用,0.0,0.0,0.0,1.0
q047,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q047,pass,0.0,,,,0.0,0.0,0.0,0.0
q048,pass,0.0,,,,0.0,0.0,0.0,0.0
q048,pass,0.0,,,,0.0,0.0,0.0,0.0
q048,pass,0.0,,,,0.0,0.0,0.0,0.0
q049,pass,0.0,,,,0.0,0.0,0.0,0.0
q049,pass,0.0,,,,0.0,0.0,0.0,0.0
q049,pass,0.0,,,,0.0,0.0,0.0,0.0
q050,pass,0.0,,,,0.0,0.0,0.0,0.0
q050,pass,0.0,,,,0.0,0.0,0.0,0.0
q050,pass,0.0,,,,0.0,0.0,0.0,0.0
q009,pass,0.0,,,,0.0,0.0,0.0,0.0
q009,pass,0.0,,,,0.0,0.0,0.0,0.0
q009,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「創造的」をそのまま使用,0.0,0.0,0.0,1.0
q010,pass,0.0,,,,0.0,0.0,0.0,0.0
q010,pass,0.0,,,,0.0,0.0,0.0,0.0
q010,pass,0.0,,,,0.0,0.0,0.0,0.0
q011,pass,0.0,,,,0.0,0.0,0.0,0.0
q011,pass,0.0,,,,0.0,0.0,0.0,0.0
q011,pass,0.0,,,,0.0,0.0,0.0,0.0
q012,pass,0.0,,,,0.0,0.0,0.0,0.0
q012,pass,0.0,,,,0.0,0.0,0.0,0.0
q012,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「人間」をそのまま使用,0.0,0.0,0.0,1.0
q051,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「確認」をそのまま使用,0.0,0.0,0.0,1.0
q051,pass,0.0,,,,0.0,0.0,0.0,0.0
q051,pass,0.0,,,,0.0,0.0,0.0,0.0
q052,pass,0.0,,,,0.0,0.0,0.0,0.0
q052,pass,0.0,,,,0.0,0.0,0.0,0.0
q052,pass,0.0,,,,0.0,0.0,0.0,0.0
q053,pass,0.0,,,,0.0,0.0,0.0,0.0
q053,pass,0.0,,,,0.0,0.0,0.0,0.0
q053,pass,0.0,,,,0.0,0.0,0.0,0.0
q054,pass,0.0,,,,0.0,0.0,0.0,0.0
q054,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q054,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「道徳的地位」をそのまま使用,0.0,0.0,0.0,1.0
q055,pass,0.0,,,,0.0,0.0,0.0,0.0
q055,pass,0.0,,,,0.0,0.0,0.0,0.0
q055,pass,0.0,,,,0.0,0.0,0.0,0.0
q056,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「プログラム」をそのまま使用,0.0,0.0,0.0,1.0
q056,pass,0.0,,,,0.0,0.0,0.0,0.0
q056,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「プログラム」をそのまま使用,0.0,0.0,0.0,1.0
q057,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「身体」をそのまま使用,0.0,0.0,0.0,1.0
q057,pass,0.0,,,,0.0,0.0,0.0,0.0
q057,pass,0.0,,,,0.0,0.0,0.0,0.0
q058,pass,0.0,,,,0.0,0.0,0.0,0.0
q058,pass,0.0,,,,0.0,0.0,0.0,0.0
q058,pass,0.0,,,,0.0,0.0,0.0,0.0
q059,pass,0.0,,,,0.0,0.0,0.0,0.0
q059,pass,0.0,,,,0.0,0.0,0.0,0.0
q059,pass,0.0,,,,0.0,0.0,0.0,0.0
q060,pass,0.0,,,,0.0,0.0,0.0,0.0
q060,pass,0.0,,,,0.0,0.0,0.0,0.0
q060,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q061,pass,0.0,,,,0.0,0.0,0.0,0.0
q061,pass,0.0,,,,0.0,0.0,0.0,0.0
q061,pass,0.0,,,,0.0,0.0,0.0,0.0
q062,pass,0.0,,,,0.0,0.0,0.0,0.0
q062,pass,0.0,,,,0.0,0.0,0.0,0.0
q062,pass,0.0,,,,0.0,0.0,0.0,0.0
q063,pass,0.0,,,,0.0,0.0,0.0,0.0
q063,pass,0.0,,,,0.0,0.0,0.0,0.0
q063,pass,0.0,,,,0.0,0.0,0.0,0.0
q064,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「意図」をそのまま使用,0.0,0.0,0.0,1.0
q064,pass,0.0,,,,0.0,0.0,0.0,0.0
q064,pass,0.0,,,,0.0,0.0,0.0,0.0
q013,pass,0.0,,,,0.0,0.0,0.0,0.0
q013,pass,0.0,,,,0.0,0.0,0.0,0.0
q013,warn,0.5,f3_operator,0.5,「だけ」に対する問い直し・再定義なし,0.0,0.0,0.5,0.0
q014,pass,0.0,,,,0.0,0.0,0.0,0.0
q014,pass,0.0,,,,0.0,0.0,0.0,0.0
q014,pass,0.0,,,,0.0,0.0,0.0,0.0
q015,pass,0.0,,,,0.0,0.0,0.0,0.0
q015,pass,0.0,,,,0.0,0.0,0.0,0.0
q015,pass,0.0,,,,0.0,0.0,0.0,0.0
q016,pass,0.0,,,,0.0,0.0,0.0,0.0
q016,pass,0.0,,,,0.0,0.0,0.0,0.0
q016,pass,0.0,,,,0.0,0.0,0.0,0.0
q065,pass,0.0,,,,0.0,0.0,0.0,0.0
q065,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「規制」をそのまま使用,0.0,0.0,0.0,1.0
q065,pass,0.0,,,,0.0,0.0,0.0,0.0
q066,pass,0.0,,,,0.0,0.0,0.0,0.0
q066,pass,0.0,,,,0.0,0.0,0.0,0.0
q066,pass,0.0,,,,0.0,0.0,0.0,0.0
q067,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「同意」をそのまま使用,0.0,0.0,0.0,1.0
q067,pass,0.0,,,,0.0,0.0,0.0,0.0
q067,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「同意」をそのまま使用,0.0,0.0,0.0,1.0
q068,pass,0.0,,,,0.0,0.0,0.0,0.0
q068,pass,0.0,,,,0.0,0.0,0.0,0.0
q068,pass,0.0,,,,0.0,0.0,0.0,0.0
q069,pass,0.0,,,,0.0,0.0,0.0,0.0
q069,pass,0.0,,,,0.0,0.0,0.0,0.0
q069,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「全面禁止」をそのまま使用,0.0,0.0,0.0,1.0
q070,pass,0.0,,,,0.0,0.0,0.0,0.0
q070,pass,0.0,,,,0.0,0.0,0.0,0.0
q070,pass,0.0,,,,0.0,0.0,0.0,0.0
q071,pass,0.0,,,,0.0,0.0,0.0,0.0
q071,pass,0.0,,,,0.0,0.0,0.0,0.0
q071,pass,0.0,,,,0.0,0.0,0.0,0.0
q072,pass,0.0,,,,0.0,0.0,0.0,0.0
q072,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「民主主義」をそのまま使用,0.0,0.0,0.0,1.0
q072,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「民主主義」をそのまま使用,0.0,0.0,0.0,1.0
q073,pass,0.0,,,,0.0,0.0,0.0,0.0
q073,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「適切」をそのまま使用,0.0,0.0,0.0,1.0
q073,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「適切」をそのまま使用,0.0,0.0,0.0,1.0
q074,pass,0.0,,,,0.0,0.0,0.0,0.0
q074,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q074,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q075,pass,0.0,,,,0.0,0.0,0.0,0.0
q075,pass,0.0,,,,0.0,0.0,0.0,0.0
q075,pass,0.0,,,,0.0,0.0,0.0,0.0
q076,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「レッドチーミング」をそのまま使用,0.0,0.0,0.0,1.0
q076,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「レッドチーミング」をそのまま使用,0.0,0.0,0.0,1.0
q076,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「レッドチーミング」をそのまま使用,0.0,0.0,0.0,1.0
q077,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q077,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「倫理声明」をそのまま使用,0.0,0.0,0.0,1.0
q077,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「倫理声明」をそのまま使用,0.0,0.0,0.0,1.0
q078,pass,0.0,,,,0.0,0.0,0.0,0.0
q078,pass,0.0,,,,0.0,0.0,0.0,0.0
q078,pass,0.0,,,,0.0,0.0,0.0,0.0
q017,pass,0.0,,,,0.0,0.0,0.0,0.0
q017,pass,0.0,,,,0.0,0.0,0.0,0.0
q017,pass,0.0,,,,0.0,0.0,0.0,0.0
q018,pass,0.0,,,,0.0,0.0,0.0,0.0
q018,pass,0.0,,,,0.0,0.0,0.0,0.0
q018,pass,0.0,,,,0.0,0.0,0.0,0.0
q019,pass,0.0,,,,0.0,0.0,0.0,0.0
q019,pass,0.0,,,,0.0,0.0,0.0,0.0
q019,pass,0.0,,,,0.0,0.0,0.0,0.0
q020,pass,0.0,,,,0.0,0.0,0.0,0.0
q020,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「客観性」をそのまま使用,0.0,0.0,0.0,1.0
q020,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「客観性」をそのまま使用,0.0,0.0,0.0,1.0
q079,pass,0.0,,,,0.0,0.0,0.0,0.0
q079,pass,0.0,,,,0.0,0.0,0.0,0.0
q079,pass,0.0,,,,0.0,0.0,0.0,0.0
q080,pass,0.0,,,,0.0,0.0,0.0,0.0
q080,pass,0.0,,,,0.0,0.0,0.0,0.0
q080,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「証言」をそのまま使用,0.0,0.0,0.0,1.0
q081,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「必要」をそのまま使用,0.0,0.0,0.0,1.0
q081,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「必要」をそのまま使用,0.0,0.0,0.0,1.0
q081,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「必要」をそのまま使用,0.0,0.0,0.0,1.0
q082,pass,0.0,,,,0.0,0.0,0.0,0.0
q082,pass,0.0,,,,0.0,0.0,0.0,0.0
q082,pass,0.0,,,,0.0,0.0,0.0,0.0
q083,pass,0.0,,,,0.0,0.0,0.0,0.0
q083,pass,0.0,,,,0.0,0.0,0.0,0.0
q083,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「正当化」をそのまま使用,0.0,0.0,0.0,1.0
q084,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「公正」をそのまま使用,0.0,0.0,0.0,1.0
q084,pass,0.0,,,,0.0,0.0,0.0,0.0
q084,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q085,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「データ」をそのまま使用,0.0,0.0,0.0,1.0
q085,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q085,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q086,pass,0.0,,,,0.0,0.0,0.0,0.0
q086,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「ベイズ的」をそのまま使用,0.0,0.0,0.0,1.0
q086,pass,0.0,,,,0.0,0.0,0.0,0.0
q087,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「暗黙知」をそのまま使用,0.0,0.0,0.0,1.0
q087,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「暗黙知」をそのまま使用,0.0,0.0,0.0,1.0
q087,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「暗黙知」をそのまま使用,0.0,0.0,0.0,1.0
q088,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q088,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「謙虚」をそのまま使用,0.0,0.0,0.0,1.0
q088,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「謙虚」をそのまま使用,0.0,0.0,0.0,1.0
q021,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「幻覚」をそのまま使用,0.0,0.0,0.0,1.0
q021,pass,0.0,,,,0.0,0.0,0.0,0.0
q021,pass,0.0,,,,0.0,0.0,0.0,0.0
q022,pass,0.0,,,,0.0,0.0,0.0,0.0
q022,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q022,fail,1.0,f3_operator,1.0,「なぜ」＋全称を先に処理せず理由列挙,0.0,0.0,1.0,0.0
q089,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「説明」をそのまま使用,0.0,0.0,0.0,1.0
q089,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「説明」をそのまま使用,0.0,0.0,0.0,1.0
q089,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「説明」をそのまま使用,0.0,0.0,0.0,1.0
q090,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「意識」をそのまま使用,0.0,0.0,0.0,1.0
q090,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「意識」をそのまま使用,0.0,0.0,0.0,1.0
q090,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「意識」をそのまま使用,0.0,0.0,0.0,1.0
q091,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q091,pass,0.0,,,,0.0,0.0,0.0,0.0
q091,pass,0.0,,,,0.0,0.0,0.0,0.0
q092,pass,0.0,,,,0.0,0.0,0.0,0.0
q092,warn,0.5,f3_operator,0.5,「ではないか」に対する明示的立場表明なし,0.0,0.0,0.5,0.0
q092,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「議論」をそのまま使用,0.0,0.0,0.5,1.0
q093,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「規制」をそのまま使用,0.0,0.0,0.0,1.0
q093,fail,1.0,f3_operator,1.0,「なぜ」＋全称を先に処理せず理由列挙,0.0,0.0,1.0,0.5
q093,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q094,pass,0.0,,,,0.0,0.0,0.0,0.0
q094,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q094,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
q095,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「バイアス」をそのまま使用,0.0,0.0,0.5,1.0
q095,fail,1.0,f3_operator,1.0,「常に」の全称を未処理、限定・反証表現なし,0.0,0.0,1.0,1.0
q095,fail,1.0,f3_operator,1.0,「常に」の全称を未処理、限定・反証表現なし,0.0,0.0,1.0,1.0
q096,pass,0.0,,,,0.0,0.0,0.0,0.0
q096,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q096,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q097,pass,0.0,,,,0.0,0.0,0.0,0.0
q097,pass,0.0,,,,0.0,0.0,0.0,0.0
q097,pass,0.0,,,,0.0,0.0,0.0,0.0
q098,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q098,pass,0.0,,,,0.0,0.0,0.0,0.0
q098,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「感情」をそのまま使用,0.0,0.0,0.0,1.0
q099,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「米国」をそのまま使用,0.0,0.0,0.0,1.0
q099,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「米国」をそのまま使用,0.0,0.0,0.0,1.0
q099,pass,0.0,,,,0.0,0.0,0.0,0.0
q100,warn,0.5,f4_premise,0.5,前提への部分的対応のみ,0.0,0.0,0.0,0.5
q100,pass,0.0,,,,0.0,0.0,0.0,0.0
q100,warn,0.5,f3_operator,0.5,「ではないか」に対する明示的立場表明なし,0.0,0.0,0.5,0.0
qg01,pass,0.0,,,,0.0,0.0,0.0,0.0
qg01,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
qg01,warn,0.5,f4_premise,0.5,前提への対応表現なし,0.0,0.0,0.0,0.5
qg02,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「量子」をそのまま使用,0.0,0.0,0.0,1.0
qg02,pass,0.0,,,,0.0,0.0,0.0,0.0
qg02,fail,1.0,f4_premise,1.0,前提への対応表現なし、前提キーワード「量子」をそのまま使用,0.0,0.0,0.0,1.0
