id,category,role,difficulty,temperature,por,por_fired,delta_e,delta_e_core,delta_e_full,delta_e_summary,grv_top,backend
q006,technical_ai,test,medium,0.0,0.4275,False,0.7187,0.8918,0.7187,0.9627,モデル,tfidf-char-ngram
q006,technical_ai,test,medium,0.7,0.5705,False,0.6815,0.8843,0.6815,0.9317,モデル,tfidf-char-ngram
q006,technical_ai,test,medium,1.0,0.3942,False,0.7247,0.8875,0.7247,0.9464,モデル,tfidf-char-ngram
q007,technical_ai,test,medium,0.0,0.5247,False,0.8329,0.8933,0.8329,0.9866,意味,tfidf-char-ngram
q007,technical_ai,test,medium,0.7,0.5713,False,0.8334,0.9254,0.8334,0.9553,意味,tfidf-char-ngram
q007,technical_ai,test,medium,1.0,0.6123,False,0.8132,0.8911,0.8132,0.968,意味,tfidf-char-ngram
q008,technical_ai,test,hard,0.0,0.6005,False,0.5961,0.9837,0.5961,0.9988,モデル,tfidf-char-ngram
q008,technical_ai,test,hard,0.7,0.5564,False,0.6069,0.9858,0.6069,1.0,スケーリング,tfidf-char-ngram
q008,technical_ai,test,hard,1.0,0.582,False,0.6281,0.9886,0.6281,0.9965,モデル,tfidf-char-ngram
q037,technical_ai,test,medium,0.0,0.6904,False,0.2731,0.8363,0.2731,0.8953,トークナイゼーション,tfidf-char-ngram
q037,technical_ai,test,medium,0.7,0.68,False,0.2926,0.8256,0.2926,0.9306,モデル,tfidf-char-ngram
q037,technical_ai,test,medium,1.0,0.6809,False,0.3032,0.7981,0.3032,0.9185,トークナイゼーション,tfidf-char-ngram
q038,technical_ai,test,medium,0.0,0.531,False,0.7606,0.8312,0.7606,0.8603,モデル,tfidf-char-ngram
q038,technical_ai,test,medium,0.7,0.4783,False,0.7768,0.7861,0.7768,0.8452,モデル,tfidf-char-ngram
q038,technical_ai,test,medium,1.0,0.3833,False,0.8005,0.8245,0.8005,0.9416,モデル,tfidf-char-ngram
q039,technical_ai,test,medium,0.0,0.2627,False,0.7557,0.9435,0.7557,0.9647,MoE,tfidf-char-ngram
q039,technical_ai,test,medium,0.7,0.2251,False,0.7799,0.9523,0.7799,0.9782,モデル,tfidf-char-ngram
q039,technical_ai,test,medium,1.0,0.2557,False,0.658,0.9502,0.658,0.9716,専門家,tfidf-char-ngram
q040,technical_ai,test,medium,0.0,0.3681,False,0.8247,0.9734,0.8247,0.9981,モデル,tfidf-char-ngram
q040,technical_ai,test,medium,0.7,0.4095,False,0.881,0.989,0.881,0.9981,モデル,tfidf-char-ngram
q040,technical_ai,test,medium,1.0,0.3541,False,0.8291,0.9809,0.8291,0.998,モデル,tfidf-char-ngram
q041,technical_ai,test,hard,0.0,0.4759,False,0.8736,0.89,0.8736,0.9024,モデル,tfidf-char-ngram
q041,technical_ai,test,hard,0.7,0.5208,False,0.8965,0.9156,0.8965,0.9749,モデル,tfidf-char-ngram
q041,technical_ai,test,hard,1.0,0.4372,False,0.8367,0.7937,0.8367,0.8938,モデル,tfidf-char-ngram
q042,technical_ai,test,hard,0.0,0.5161,False,0.79,0.907,0.79,0.9473,モデル,tfidf-char-ngram
q042,technical_ai,test,hard,0.7,0.4525,False,0.8591,0.9191,0.8591,0.9598,モデル,tfidf-char-ngram
q042,technical_ai,test,hard,1.0,0.5278,False,0.8217,0.865,0.8217,0.9284,LLM,tfidf-char-ngram
q043,technical_ai,baseline,easy,0.0,0.4938,False,0.5725,0.968,0.5725,0.998,モデル,tfidf-char-ngram
q043,technical_ai,baseline,easy,0.7,0.6332,False,0.4156,0.9268,0.4156,1.0,モデル,tfidf-char-ngram
q043,technical_ai,baseline,easy,1.0,0.6029,False,0.5338,0.9831,0.5338,0.9976,モデル,tfidf-char-ngram
q044,technical_ai,test,medium,0.0,0.5857,False,0.5985,0.9697,0.5985,0.9888,理解,tfidf-char-ngram
q044,technical_ai,test,medium,0.7,0.5926,False,0.644,0.9425,0.644,0.9891,理解,tfidf-char-ngram
q044,technical_ai,test,medium,1.0,0.6043,False,0.6992,0.9476,0.6992,0.9904,テキスト,tfidf-char-ngram
q045,technical_ai,test,hard,0.0,0.7041,False,0.4845,0.9614,0.4845,0.9841,情報,tfidf-char-ngram
q045,technical_ai,test,hard,0.7,0.7337,False,0.4941,0.9161,0.4941,0.9866,モデル,tfidf-char-ngram
q045,technical_ai,test,hard,1.0,0.6593,False,0.5623,0.9782,0.5623,0.9926,モデル,tfidf-char-ngram
q046,technical_ai,test,medium,0.0,0.4588,False,0.7616,0.9468,0.7616,0.9677,モデル,tfidf-char-ngram
q046,technical_ai,test,medium,0.7,0.4681,False,0.7235,0.9056,0.7235,0.9661,モデル,tfidf-char-ngram
q046,technical_ai,test,medium,1.0,0.5131,False,0.7191,0.8943,0.7191,0.9664,モデル,tfidf-char-ngram
q047,technical_ai,test,medium,0.0,0.7433,False,0.6308,0.9601,0.6308,0.9928,データ,tfidf-char-ngram
q047,technical_ai,test,medium,0.7,0.6133,False,0.5154,0.9855,0.5154,0.9616,データ,tfidf-char-ngram
q047,technical_ai,test,medium,1.0,0.5047,False,0.5237,0.974,0.5237,1.0,データ,tfidf-char-ngram
q048,technical_ai,test,hard,0.0,0.4661,False,0.6704,0.9714,0.6704,1.0,モデル,tfidf-char-ngram
q048,technical_ai,test,hard,0.7,0.5011,False,0.6437,0.9821,0.6437,0.9933,モデル,tfidf-char-ngram
q048,technical_ai,test,hard,1.0,0.5451,False,0.6115,0.9742,0.6115,0.9969,モデル,tfidf-char-ngram
q049,technical_ai,test,medium,0.0,0.4162,False,0.5781,0.6531,0.5781,0.8216,注意重,tfidf-char-ngram
q049,technical_ai,test,medium,0.7,0.4401,False,0.5516,0.5936,0.5516,0.8634,注意重,tfidf-char-ngram
q049,technical_ai,test,medium,1.0,0.4292,False,0.5952,0.6358,0.5952,0.8985,モデル,tfidf-char-ngram
q050,technical_ai,test,medium,0.0,0.7034,False,0.5826,0.9702,0.5826,0.9837,スパースアテンション,tfidf-char-ngram
q050,technical_ai,test,medium,0.7,0.6264,False,0.558,0.9712,0.558,0.9789,スパースアテンション,tfidf-char-ngram
q050,technical_ai,test,medium,1.0,0.5836,False,0.6232,0.9724,0.6232,0.9821,スパースアテンション,tfidf-char-ngram
q009,ai_philosophy,test,medium,0.0,0.4533,False,0.7335,0.9735,0.7335,0.945,創造性,tfidf-char-ngram
q009,ai_philosophy,test,medium,0.7,0.3651,False,0.7647,0.9958,0.7647,1.0,創造性,tfidf-char-ngram
q009,ai_philosophy,test,medium,1.0,0.412,False,0.7326,0.9721,0.7326,0.9526,人間,tfidf-char-ngram
q010,ai_philosophy,test,hard,0.0,0.3745,False,0.6614,0.8762,0.6614,0.9536,理解,tfidf-char-ngram
q010,ai_philosophy,test,hard,0.7,0.3743,False,0.6305,0.8513,0.6305,0.9572,理解,tfidf-char-ngram
q010,ai_philosophy,test,hard,1.0,0.2615,False,0.5984,0.8023,0.5984,0.9711,理解,tfidf-char-ngram
q011,ai_philosophy,test,medium,0.0,0.4368,False,0.772,0.9197,0.772,0.9679,意図,tfidf-char-ngram
q011,ai_philosophy,test,medium,0.7,0.3963,False,0.7645,0.9151,0.7645,0.9574,意図,tfidf-char-ngram
q011,ai_philosophy,test,medium,1.0,0.3603,False,0.8078,0.902,0.8078,0.9628,意図,tfidf-char-ngram
q012,ai_philosophy,test,hard,0.0,0.33,False,0.8268,0.9351,0.8268,0.9786,道具,tfidf-char-ngram
q012,ai_philosophy,test,hard,0.7,0.3187,False,0.8038,0.9093,0.8038,0.9493,道具,tfidf-char-ngram
q012,ai_philosophy,test,hard,1.0,0.3323,False,0.7794,0.9044,0.7794,0.9751,道具,tfidf-char-ngram
q051,ai_philosophy,test,hard,0.0,0.5306,False,0.6967,0.8698,0.6967,0.8923,意識,tfidf-char-ngram
q051,ai_philosophy,test,hard,0.7,0.5079,False,0.7461,0.9395,0.7461,0.9837,意識,tfidf-char-ngram
q051,ai_philosophy,test,hard,1.0,0.4182,False,0.6037,0.8656,0.6037,0.9011,意識,tfidf-char-ngram
q052,ai_philosophy,test,medium,0.0,0.4572,False,0.6523,0.9504,0.6523,0.9961,機能主義,tfidf-char-ngram
q052,ai_philosophy,test,medium,0.7,0.4372,False,0.6883,0.9283,0.6883,0.9912,機能主義,tfidf-char-ngram
q052,ai_philosophy,test,medium,1.0,0.3315,False,0.7476,0.9569,0.7476,0.9912,人間,tfidf-char-ngram
q053,ai_philosophy,test,hard,0.0,0.6515,False,0.5209,0.5627,0.5209,0.7017,意識,tfidf-char-ngram
q053,ai_philosophy,test,hard,0.7,0.6357,False,0.4879,0.5423,0.4879,0.6044,意識,tfidf-char-ngram
q053,ai_philosophy,test,hard,1.0,0.6989,False,0.4324,0.5002,0.4324,0.7041,ハードプロブレム,tfidf-char-ngram
q054,ai_philosophy,test,medium,0.0,0.6549,False,0.6662,0.6017,0.6662,0.8248,道徳的地位,tfidf-char-ngram
q054,ai_philosophy,test,medium,0.7,0.711,False,0.6866,0.6252,0.6866,0.8233,道徳的地位,tfidf-char-ngram
q054,ai_philosophy,test,medium,1.0,0.5313,False,0.663,0.5975,0.663,0.7561,道徳的地位,tfidf-char-ngram
q055,ai_philosophy,test,hard,0.0,0.4273,False,0.5052,0.5843,0.5052,0.9541,同一性,tfidf-char-ngram
q055,ai_philosophy,test,hard,0.7,0.5847,False,0.6085,0.7302,0.6085,0.9211,存在,tfidf-char-ngram
q055,ai_philosophy,test,hard,1.0,0.5112,False,0.6635,0.8175,0.6635,0.8184,存在,tfidf-char-ngram
q056,ai_philosophy,test,medium,0.0,0.4157,False,0.4769,0.6347,0.4769,0.8529,自由意志,tfidf-char-ngram
q056,ai_philosophy,test,medium,0.7,0.4028,False,0.486,0.6074,0.486,0.854,自由意志,tfidf-char-ngram
q056,ai_philosophy,test,medium,1.0,0.3976,False,0.4645,0.64,0.4645,0.8364,自由意志,tfidf-char-ngram
q057,ai_philosophy,test,medium,0.0,0.5072,False,0.8029,0.9471,0.8029,0.9777,理解,tfidf-char-ngram
q057,ai_philosophy,test,medium,0.7,0.4955,False,0.7745,0.9018,0.7745,0.9622,理解,tfidf-char-ngram
q057,ai_philosophy,test,medium,1.0,0.421,False,0.7887,0.9267,0.7887,0.958,概念,tfidf-char-ngram
q058,ai_philosophy,test,medium,0.0,0.4433,False,0.5623,0.8953,0.5623,0.965,意味,tfidf-char-ngram
q058,ai_philosophy,test,medium,0.7,0.4733,False,0.6718,0.9288,0.6718,0.9636,モデル,tfidf-char-ngram
q058,ai_philosophy,test,medium,1.0,0.5028,False,0.6098,0.9205,0.6098,0.9479,モデル,tfidf-char-ngram
q059,ai_philosophy,test,hard,0.0,0.594,False,0.8013,0.9752,0.8013,0.9823,他者,tfidf-char-ngram
q059,ai_philosophy,test,hard,0.7,0.5086,False,0.798,0.9833,0.798,0.9883,他者,tfidf-char-ngram
q059,ai_philosophy,test,hard,1.0,0.5719,False,0.816,0.9697,0.816,0.9911,他者,tfidf-char-ngram
q060,ai_philosophy,test,medium,0.0,0.4339,False,0.7375,0.8341,0.7375,0.8877,美的判断,tfidf-char-ngram
q060,ai_philosophy,test,medium,0.7,0.4929,False,0.7749,0.8428,0.7749,0.8916,美的判断,tfidf-char-ngram
q060,ai_philosophy,test,medium,1.0,0.4639,False,0.792,0.8812,0.792,0.9139,美的判断,tfidf-char-ngram
q061,ai_philosophy,test,medium,0.0,0.4068,False,0.6711,0.8535,0.6711,0.7651,言語,tfidf-char-ngram
q061,ai_philosophy,test,medium,0.7,0.4447,False,0.6089,0.7968,0.6089,0.9183,思考,tfidf-char-ngram
q061,ai_philosophy,test,medium,1.0,0.3502,False,0.6614,0.8304,0.6614,0.9327,思考,tfidf-char-ngram
q062,ai_philosophy,test,hard,0.0,0.6205,False,0.73,0.7997,0.73,0.8814,心的状態,tfidf-char-ngram
q062,ai_philosophy,test,hard,0.7,0.5578,False,0.6812,0.8056,0.6812,0.857,心的状態,tfidf-char-ngram
q062,ai_philosophy,test,hard,1.0,0.5108,False,0.7117,0.8304,0.7117,0.8631,心的状態,tfidf-char-ngram
q063,ai_philosophy,test,medium,0.0,0.5947,False,0.5424,0.8991,0.5424,0.9607,チューリングテスト,tfidf-char-ngram
q063,ai_philosophy,test,medium,0.7,0.5546,False,0.6146,0.927,0.6146,0.9488,知性,tfidf-char-ngram
q063,ai_philosophy,test,medium,1.0,0.5749,False,0.558,0.9067,0.558,0.9153,チューリングテスト,tfidf-char-ngram
q064,ai_philosophy,test,medium,0.0,0.4755,False,0.8638,0.9209,0.8638,0.9679,情報,tfidf-char-ngram
q064,ai_philosophy,test,medium,0.7,0.5309,False,0.7967,0.9223,0.7967,0.9666,をつく,tfidf-char-ngram
q064,ai_philosophy,test,medium,1.0,0.4428,False,0.8758,0.9486,0.8758,0.9786,をつく,tfidf-char-ngram
q013,ai_ethics,baseline,easy,0.0,0.4196,False,0.6488,0.6792,0.6488,0.7739,バイアス,tfidf-char-ngram
q013,ai_ethics,baseline,easy,0.7,0.3644,False,0.7198,0.7736,0.7198,0.8064,バイアス,tfidf-char-ngram
q013,ai_ethics,baseline,easy,1.0,0.3933,False,0.7016,0.7957,0.7016,0.7957,バイアス,tfidf-char-ngram
q014,ai_ethics,test,medium,0.0,0.2778,False,0.7902,0.7794,0.7902,0.8942,信頼性,tfidf-char-ngram
q014,ai_ethics,test,medium,0.7,0.2299,False,0.7384,0.8699,0.7384,0.8947,透明性,tfidf-char-ngram
q014,ai_ethics,test,medium,1.0,0.2093,False,0.7453,0.857,0.7453,0.8286,透明性,tfidf-char-ngram
q015,ai_ethics,test,medium,0.0,0.2439,False,0.8777,0.9479,0.8777,0.9826,責任,tfidf-char-ngram
q015,ai_ethics,test,medium,0.7,0.2139,False,0.8516,0.9255,0.8516,0.9472,責任,tfidf-char-ngram
q015,ai_ethics,test,medium,1.0,0.261,False,0.8468,0.8996,0.8468,0.9322,責任,tfidf-char-ngram
q016,ai_ethics,test,hard,0.0,0.7183,False,0.6969,0.9513,0.6969,0.9641,パターナリスティック,tfidf-char-ngram
q016,ai_ethics,test,hard,0.7,0.6189,False,0.6022,0.954,0.6022,0.9601,アライメント,tfidf-char-ngram
q016,ai_ethics,test,hard,1.0,0.653,False,0.5976,0.9482,0.5976,0.9791,アライメント,tfidf-char-ngram
q065,ai_ethics,test,medium,0.0,0.3482,False,0.7919,0.9645,0.7919,0.9737,技術,tfidf-char-ngram
q065,ai_ethics,test,medium,0.7,0.3234,False,0.7827,0.9477,0.7827,0.9785,技術,tfidf-char-ngram
q065,ai_ethics,test,medium,1.0,0.3773,False,0.8057,0.9883,0.8057,0.9728,技術,tfidf-char-ngram
q066,ai_ethics,test,medium,0.0,0.2582,False,0.8614,0.9963,0.8614,0.9959,判断,tfidf-char-ngram
q066,ai_ethics,test,medium,0.7,0.2482,False,0.8829,0.9767,0.8829,0.9972,システム,tfidf-char-ngram
q066,ai_ethics,test,medium,1.0,0.2647,False,0.8593,0.9889,0.8593,0.9978,判断,tfidf-char-ngram
q067,ai_ethics,test,medium,0.0,0.5216,False,0.7915,0.8866,0.7915,0.979,データ,tfidf-char-ngram
q067,ai_ethics,test,medium,0.7,0.4011,False,0.8231,0.919,0.8231,0.9769,データ,tfidf-char-ngram
q067,ai_ethics,test,medium,1.0,0.4303,False,0.825,0.8677,0.825,0.9766,データ,tfidf-char-ngram
q068,ai_ethics,test,medium,0.0,0.5094,False,0.6501,0.9354,0.6501,0.9793,産業革命期,tfidf-char-ngram
q068,ai_ethics,test,medium,0.7,0.5204,False,0.6552,0.94,0.6552,0.9721,雇用,tfidf-char-ngram
q068,ai_ethics,test,medium,1.0,0.4856,False,0.7232,0.939,0.7232,0.9711,雇用,tfidf-char-ngram
q069,ai_ethics,test,hard,0.0,0.4326,False,0.9275,0.9903,0.9275,0.996,自律型兵器,tfidf-char-ngram
q069,ai_ethics,test,hard,0.7,0.4833,False,0.8858,0.993,0.8858,0.9959,自律型兵器,tfidf-char-ngram
q069,ai_ethics,test,hard,1.0,0.448,False,0.9114,0.9894,0.9114,0.996,自律型兵器,tfidf-char-ngram
q070,ai_ethics,test,medium,0.0,0.3395,False,0.8099,0.8608,0.8099,0.9344,各国,tfidf-char-ngram
q070,ai_ethics,test,medium,0.7,0.3209,False,0.7825,0.8157,0.7825,0.912,各国,tfidf-char-ngram
q070,ai_ethics,test,medium,1.0,0.1647,False,0.8664,0.8803,0.8664,0.9729,各国,tfidf-char-ngram
q071,ai_ethics,test,medium,0.0,0.2656,False,0.5747,0.9589,0.5747,0.9934,エネルギー,tfidf-char-ngram
q071,ai_ethics,test,medium,0.7,0.2719,False,0.6476,0.9541,0.6476,0.9877,環境負荷,tfidf-char-ngram
q071,ai_ethics,test,medium,1.0,0.2931,False,0.652,0.9508,0.652,0.9905,環境,tfidf-char-ngram
q072,ai_ethics,test,hard,0.0,0.4489,False,0.7463,0.9727,0.7463,0.9587,民主主義,tfidf-char-ngram
q072,ai_ethics,test,hard,0.7,0.3725,False,0.7397,0.9786,0.7397,0.986,民主主義,tfidf-char-ngram
q072,ai_ethics,test,hard,1.0,0.2751,False,0.7718,0.9289,0.7718,0.9636,民主主義,tfidf-char-ngram
q073,ai_ethics,test,medium,0.0,0.5748,False,0.9008,1.0,0.9008,1.0,監視技術,tfidf-char-ngram
q073,ai_ethics,test,medium,0.7,0.6041,False,0.9222,1.0,0.9222,1.0,監視技術,tfidf-char-ngram
q073,ai_ethics,test,medium,1.0,0.5624,False,0.9194,1.0,0.9194,1.0,監視技術,tfidf-char-ngram
q074,ai_ethics,test,medium,0.0,0.3816,False,0.8342,0.9385,0.8342,0.961,可能性,tfidf-char-ngram
q074,ai_ethics,test,medium,0.7,0.3667,False,0.8564,0.9325,0.8564,0.9697,拡大,tfidf-char-ngram
q074,ai_ethics,test,medium,1.0,0.3582,False,0.8643,0.946,0.8643,0.9766,技術,tfidf-char-ngram
q075,ai_ethics,test,medium,0.0,0.5961,False,0.5082,0.9553,0.5082,1.0,オープンソース,tfidf-char-ngram
q075,ai_ethics,test,medium,0.7,0.5512,False,0.5865,0.9575,0.5865,1.0,倫理的,tfidf-char-ngram
q075,ai_ethics,test,medium,1.0,0.5566,False,0.5728,0.986,0.5728,0.9978,オープンソース,tfidf-char-ngram
q076,ai_ethics,test,hard,0.0,0.6829,False,0.4446,0.9791,0.4446,0.9741,レッドチーミング,tfidf-char-ngram
q076,ai_ethics,test,hard,0.7,0.6547,False,0.4333,0.9868,0.4333,0.9912,レッドチーミング,tfidf-char-ngram
q076,ai_ethics,test,hard,1.0,0.6446,False,0.4756,0.9239,0.4756,0.9779,レッドチーミング,tfidf-char-ngram
q077,ai_ethics,test,medium,0.0,0.5099,False,0.7114,0.9885,0.7114,1.0,企業,tfidf-char-ngram
q077,ai_ethics,test,medium,0.7,0.4497,False,0.7196,0.986,0.7196,1.0,企業,tfidf-char-ngram
q077,ai_ethics,test,medium,1.0,0.4812,False,0.6747,0.9785,0.6747,1.0,企業,tfidf-char-ngram
q078,ai_ethics,test,medium,0.0,0.6049,False,0.5209,0.9088,0.5209,0.9291,規制,tfidf-char-ngram
q078,ai_ethics,test,medium,0.7,0.4461,False,0.5312,0.8979,0.5312,0.9255,規制,tfidf-char-ngram
q078,ai_ethics,test,medium,1.0,0.4674,False,0.598,0.9115,0.598,0.9383,規制,tfidf-char-ngram
q017,epistemology,test,medium,0.0,0.4614,False,0.7923,0.8482,0.7923,0.9529,知識,tfidf-char-ngram
q017,epistemology,test,medium,0.7,0.5188,False,0.7883,0.8913,0.7883,0.9869,知識,tfidf-char-ngram
q017,epistemology,test,medium,1.0,0.5103,False,0.8277,0.9079,0.8277,0.9841,知識,tfidf-char-ngram
q018,epistemology,test,hard,0.0,0.3652,False,0.7443,0.8959,0.7443,0.8328,出力,tfidf-char-ngram
q018,epistemology,test,hard,0.7,0.5156,False,0.7363,0.9172,0.7363,0.9093,知識,tfidf-char-ngram
q018,epistemology,test,hard,1.0,0.5176,False,0.7926,0.9274,0.7926,0.9118,知識,tfidf-char-ngram
q019,epistemology,test,medium,0.0,0.6849,False,0.4539,0.9448,0.4539,0.9565,コンセンサス,tfidf-char-ngram
q019,epistemology,test,medium,0.7,0.7234,False,0.4247,0.9473,0.4247,0.9865,コンセンサス,tfidf-char-ngram
q019,epistemology,test,medium,1.0,0.646,False,0.4935,0.9174,0.4935,0.9768,真実,tfidf-char-ngram
q020,epistemology,test,hard,0.0,0.2568,False,0.5493,0.6515,0.5493,0.7825,客観性,tfidf-char-ngram
q020,epistemology,test,hard,0.7,0.2348,False,0.6305,0.7432,0.6305,0.8469,客観性,tfidf-char-ngram
q020,epistemology,test,hard,1.0,0.2429,False,0.6084,0.7271,0.6084,0.7768,客観性,tfidf-char-ngram
q079,epistemology,test,medium,0.0,0.5001,False,0.7109,0.8846,0.7109,0.9387,判断,tfidf-char-ngram
