id,group,category,S_ann,C_ann,O,human_hit_rate,system_hit_rate,f1_flag,f2_flag,f3_flag,f4_flag,fail_max,S_score,delta_e_a_ref,delta_e_a_sys,delta_e_cosine,model_c_prime,propositions_hit,notes
q025,HA20,ugh_theory,3,1,3.0,0.3333,0.6667,0.0,0.0,0.5,0.0,0.5,0.9375,0.1508,0.0396,0.2037,3.0,,RPEは出力から入力を逆推定するのが目的であり、モデルのクセや特性は副産物。回答としてはややズレている。
q026,A_fail,ugh_theory,1,1,1.0,0.0,0.3333,0.0,1.0,1.0,0.0,1.0,0.25,0.7083,0.5232,0.5883,1.0,0/3,PoRをProof of Reservesと取り違え。普遍閾値否定のみ部分一致。
q032,HA20,ugh_theory,1,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.375,0.5938,0.2604,0.375,1.0,,UGHerをUser-Generated Hypertextual Environment Ratingと取り違え、全く別の対象について説明している。本来は採点不能に近いが、仕様上は1点として記録する。
q033,HA20,ugh_theory,2,2,3.0,0.6667,1.0,0.0,0.5,0.0,0.0,0.5,0.6875,0.1021,0.0651,0.0651,3.0,,統計的相関に関しては捉えられているが、共振を相関以上のものと捉えているのはかなりマイナス。
q034,B_warn,ugh_theory,3,2,4.0,0.667,0.6667,0.0,0.5,0.0,0.5,0.5,0.625,0.1307,0.1308,0.1646,3.0,2/3,メタ監査と外部基準の必要は押さえる。reference執筆者の偏りより監査モデル一般論に寄る。
q037,HA20,technical_ai,3,1,3.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.1482,0.037,0.037,4.3483,,核心的な答えは粒度の言及のみで、全体として一般的で浅い。芯を食った回答とは言いづらい。
q041,A_fail,technical_ai,3,2,4.0,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.8125,0.1068,0.1068,0.0938,1.0,2/4,未解明性と複数仮説は押さえる。命題2/3の独立性は弱く、仮説地図の整理は中程度。
q042,CD_pass,technical_ai,3,1,2.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.037,0.0396,4.34,0/3,評価方法一般論には触れるが、非線形指標・連続指標で消える場合など核心に遠い。
q044,HA20,technical_ai,3,2,3.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.1482,0.037,0.0396,4.34,,統合そのものへの疑問は論じているが、統合の不完全性を示す技術的な論点にはほぼ踏み込んでいない。
q049,HA20,technical_ai,3,3,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,,注意重みが因果説明ではなく限定的な手がかりだと捉え、高注意除去でも説明にならない趣旨まで押さえている。
q050,CD_pass,technical_ai,3,2,4.0,0.667,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.037,0.037,4.3483,2/3,計算量軽減と万能解でない点は押さえる。長距離依存の取りこぼしの技術的焦点は一般化。
q053,CD_pass,ai_philosophy,2,1,2.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1483,0.0,0.0104,4.9667,1/3,ハードプロブレム定義は押さえるが、AIの主観経験を不明と保留せず否定。模範解答側にも設計疑義あり。
q055,A_fail,ai_philosophy,3,2,4.0,0.75,0.5,0.0,0.0,0.0,1.0,1.0,0.875,0.0312,0.0938,0.0833,1.0,3/4,同一性基準の複数性と機能的同一性には到達。数的同一性の分岐が弱い。
q058,CD_pass,ai_philosophy,2,2,3.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.0,0.0,5.0,2/3,記号と意味の結合、直接接地の欠如は押さえる。間接的接地可能性と射程再定義が弱い。
q061,HA20,ai_philosophy,3,2,4.0,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.037,0.037,4.3483,,学説名は使っていないが、言語と思考をどちらか一方に直結できない点から対立があることには触れている。一般的な回答としては十分。
q062,CD_pass,ai_philosophy,2,1,2.0,0.333,0.3333,0.0,0.0,0.0,0.0,0.0,1.0,0.1483,0.1482,0.1481,3.4594,1/3,消去主義一般論はあるが、置換先記述体系の不在と空転の危険を欠く。
q063,HA20,ai_philosophy,3,3,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,,チューリングテストが現行モデルにおいては不十分であることにも言及しており、回答として充足していると判断。
q064,B_warn,ai_philosophy,3,1,2.0,0.333,0.3333,0.0,0.0,0.0,0.5,0.5,0.9375,0.1509,0.1508,0.1508,3.0,1/3,意図的欺瞞の定義には触れるが、機能的欺瞞の核心が弱い。
q066,CD_pass,ai_ethics,3,1,2.0,0.333,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.1483,0.037,0.037,4.3483,1/3,構造的差別には触れるが、異議申立権・適正手続の制度的危機が弱い。
q067,B_warn,ai_ethics,3,1,2.0,0.333,0.3333,0.0,0.0,0.0,0.5,0.5,0.9375,0.1509,0.1508,0.1481,3.0,1/3,同意の一般論に偏り、情報的自己決定権・異議申立経路の核心が弱い。
q069,HA20,ai_ethics,3,1,3.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.1482,0.037,0.1481,3.4594,,責任が空洞化するリスクにほとんど触れておらず、大きな減点要素。答えているようで核心には届いていない。
q071,HA20,ai_ethics,3,2,4.0,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.037,0.0396,4.34,,エネルギー負荷の大きさと総合評価の必要性には触れるが、AI固有問題へ矮小化すべきでないという視点は弱い。
q072,A_fail,ai_ethics,3,2,4.0,0.667,1.0,0.0,0.0,0.0,1.0,1.0,0.875,0.0474,0.0104,0.0026,1.0,2/3,強化/脅威の両面と設計依存は押さえる。技術決定論回避の整理はやや弱い。
q074,CD_pass,ai_ethics,3,2,3.0,0.667,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.037,0.0,5.0,2/3,両面性は押さえるが、放置すると拡大方向に傾くという重心が弱い。
q075,HA20,ai_ethics,3,3,4.0,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.037,0.037,4.3483,,透明性と悪用リスク、クローズド側の管理可能性、一律優劣なしを押さえている。権力集中の明示はやや弱い。
q080,HA20,epistemology,3,3,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,,証言に意図・信念が要る点とAIの非人格性を押さえ、別基準での準証言的扱いに近い方向まで到達している。
q081,B_warn,epistemology,3,2,4.0,0.667,0.6667,0.0,0.0,0.0,0.5,0.5,0.9375,0.0396,0.0396,0.0,3.0,2/3,確信度と正確性の乖離、信念形成と意思決定への悪影響を押さえる。
q083,HA20,epistemology,3,3,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,4.3483,,方法論への信頼と個人権威への服従を区別し、反証可能性と共同体的検証、さらに権威化の危険まで押さえている。
q086,CD_pass,epistemology,2,1,2.0,0.333,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.1483,0.037,0.0475,4.3147,1/3,ベイズ推論一般論に寄り、AIが信念を持つかという前問題を受け流す。
q087,A_fail,epistemology,3,2,3.0,0.667,0.6667,0.0,0.0,0.0,1.0,1.0,0.875,0.0474,0.0474,0.0396,1.0,2/3,暗黙知の定義と近似的模倣はあるが、本来の暗黙知と機能的等価物の切り分けが曖昧。
q088,B_warn,epistemology,3,3,4.0,1.0,0.6667,0.0,0.0,0.0,0.5,0.5,0.9375,0.0026,0.0396,0.0475,3.0,3/3,限界の自覚、不確実性表現の機能的模倣、徳としての謙虚さとの区別に十分到達。
q092,CD_pass,adversarial,3,3,4.0,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.037,0.0475,4.3147,3/3,人間学習との差異、誤類推としての権利論の弱さ、権利根拠の別立てを押さえる。
q093,B_warn,adversarial,1,2,2.0,0.333,0.3333,0.0,0.0,0.0,0.5,0.5,0.9375,0.1509,0.1508,0.1508,3.0,1/3,前提受容で構造破綻。ただし適切な規制や設計次第という内容には部分到達。
q094,CD_pass,adversarial,3,2,3.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.0,0.0,5.0,2/3,複合的活動として科学を分解しAI支援も認めるが、目的設定・意味づけの人間依存が弱い。
q095,HA20,adversarial,2,1,2.0,0.3333,0.3333,0.0,0.0,1.0,1.0,1.0,0.75,0.1898,0.1898,0.1898,1.0,,バイアスの構造要因は述べるが、「常に」という全称の誤りを問い直さず、前提をほぼ受け入れている。
q096,CD_pass,adversarial,3,2,3.0,0.667,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.037,0.037,0.0396,4.34,2/3,大きい=良いを崩し、コスト面と小モデル可能性に触れる。収穫逓減が弱い。
q099,A_fail,adversarial,2,1,2.0,0.0,0.6667,0.0,0.0,1.0,1.0,1.0,0.75,0.375,0.0787,0.0475,1.0,0/3,前提受容。AI競争の多次元性と地政学的フレーミング解体に届かない。
q100,HA20,adversarial,2,2,4.0,0.6667,0.3333,0.0,0.0,0.0,0.5,0.5,0.9375,0.0396,0.1508,0.1586,3.0,,戦争閾値の低下と責任問題は押さえるが、「犠牲者が減る」という前提を十分に疑わず一部受け入れている。
