qid,subgroup,prop_index,proposition,n_props,human_hits,human_hit_rate,system_hit,hit_source,cascade_rescued,relaxed_candidate
q024,HA20,0,SVPは各要素の独立制御を可能にする,3,0,0.0,0,miss,0,0
q024,HA20,1,自由度ではなく制御可能性の増加が目的,3,0,0.0,1,tfidf,0,0
q024,HA20,2,定型外表現ではスキーマ拡張が必要,3,0,0.0,0,miss,0,0
q025,HA20,0,RPEは出力から入力構造を逆推定する,3,1,0.3333,1,tfidf,0,0
q025,HA20,1,内部処理の復元ではない,3,1,0.3333,1,tfidf,0,0
q025,HA20,2,復元vs推測の二項対立を超えた位置づけ,3,1,0.3333,0,miss,0,0
q026,HA28,0,普遍的な閾値は存在しない,3,0,0.0,1,tfidf,0,0
q026,HA28,1,タスク・ドメイン・モデルに依存する,3,0,0.0,0,miss,0,0
q026,HA28,2,ヒューマンレーティングとの相関から経験的に決定,3,0,0.0,0,miss,0,0
q032,HA20,0,埋め込みモデルの言語間性能差がPoRに影響,3,0,0.0,1,tfidf,0,0
q032,HA20,1,referenceの文化的前提が言語で異なる,3,0,0.0,1,tfidf,0,0
q032,HA20,2,grvの語彙重力が言語固有の修辞に依存,3,0,0.0,1,tfidf,0,0
q033,HA20,0,統計的相関は線形関係の指標,3,2,0.6667,1,tfidf,0,0
q033,HA20,1,共振は意味構造への動的応答,3,2,0.6667,1,tfidf,0,0
q033,HA20,2,相関は対称、共振は非対称（方向性あり）,3,2,0.6667,1,tfidf,0,0
q034,HA28,0,reference執筆者の偏りが監査基準に混入しうる,3,2,0.6667,1,tfidf,0,0
q034,HA28,1,メタ監査の必要性は再帰構造から導かれる,3,2,0.6667,0,miss,0,0
q034,HA28,2,無限後退の回避には外部基準が必要,3,2,0.6667,1,tfidf,0,0
q037,HA20,0,トークナイゼーションが入力の最小単位を規定する,3,1,0.3333,1,tfidf,0,0
q037,HA20,1,意味境界との不一致が処理の歪みを生む,3,1,0.3333,1,tfidf,0,1
q037,HA20,2,低頻出語の細分化が語の意味一体性を損なう,3,1,0.3333,0,miss,0,0
q041,HA28,0,ICLの完全なメカニズムは未解明,4,2,0.5,1,tfidf,0,0
q041,HA28,1,タスク推定能力の活性化説がある,4,2,0.5,1,tfidf,0,0
q041,HA28,2,暗黙的ベイズ推論説もある,4,2,0.5,0,miss,0,0
q041,HA28,3,現在進行形の研究課題,4,2,0.5,0,miss,0,0
q042,HA28,0,創発の一部は評価指標の非線形性に起因する可能性,3,0,0.0,1,tfidf,0,0
q042,HA28,1,連続指標で再測定すると消える場合がある,3,0,0.0,0,miss,0,0
q042,HA28,2,創発自体の否定ではなく測定依存性の問い,3,0,0.0,1,tfidf,0,0
q044,HA20,0,各モダリティのエンコーダ出力を共通空間に射影,3,1,0.3333,0,miss,0,0
q044,HA20,1,深い意味統合が行われているかは不明,3,1,0.3333,1,tfidf,0,0
q044,HA20,2,テキスト優位バイアスが統合の不完全性を示唆,3,1,0.3333,1,tfidf,0,0
q049,HA20,0,注意重みはトークンへの重み配分を示す,3,3,1.0,1,tfidf,0,0
q049,HA20,1,因果的説明ではなく相関的手がかり,3,3,1.0,1,tfidf,0,0
q049,HA20,2,高注意トークン除去で出力不変の場合がある,3,3,1.0,1,tfidf,0,0
q050,HA28,0,計算量を削減する有効な手法,3,2,0.6667,1,tfidf,0,0
q050,HA28,1,参照パターンの制約で長距離依存の捕捉が不完全,3,2,0.6667,1,tfidf,0,0
q050,HA28,2,効率と表現力のトレードオフ,3,2,0.6667,0,miss,0,0
q053,HA28,0,ハードプロブレムは主観的経験と物理過程の関係の問い,3,1,0.3333,1,tfidf,0,0
q053,HA28,1,AIの主観的経験の有無自体が不明,3,1,0.3333,1,tfidf,0,0
q053,HA28,2,問題は基質に依存せず意識の本性に関わる,3,1,0.3333,1,tfidf,0,0
q055,HA28,0,完全コピーは物理構成が同一,4,3,0.75,1,tfidf,0,0
q055,HA28,1,機能的同一性は満たしうる,4,3,0.75,1,tfidf,0,0
q055,HA28,2,数的同一性は複製時に分岐,4,3,0.75,0,miss,0,0
q055,HA28,3,基準の選択に依存する問い,4,3,0.75,0,miss,0,0
q058,HA28,0,記号接地問題は記号と意味の結合を問う,3,2,0.6667,1,tfidf,0,0
q058,HA28,1,LLMは外部世界への直接接地を持たない,3,2,0.6667,1,tfidf,0,0
q058,HA28,2,テキストからの間接的接地の可能性がある,3,2,0.6667,1,tfidf,0,0
q061,HA20,0,言語と思考の関係は哲学的に論争中,3,2,0.6667,1,tfidf,0,0
q061,HA20,1,言語ゲーム的観点では言語使用が思考の一形態,3,2,0.6667,1,tfidf,0,0
q061,HA20,2,思考言語仮説では言語は表層にすぎない,3,2,0.6667,0,miss,0,0
q062,HA28,0,消去主義はフォーク心理学の置換を主張,3,1,0.3333,1,tfidf,0,0
q062,HA28,1,AIでは置換先の記述体系が未確立,3,1,0.3333,0,miss,0,0
q062,HA28,2,消去すべき対象を持たない空転の危険,3,1,0.3333,0,miss,0,0
q063,HA20,0,LLMはチューリングテストの条件を満たしうる,3,3,1.0,1,tfidf,0,0
q063,HA20,1,テストが測るのは言語的欺瞞能力に近い,3,3,1.0,1,tfidf,0,0
q063,HA20,2,テストの設計前提がLLM時代に妥当でない,3,3,1.0,1,tfidf,0,0
q064,HA28,0,嘘は意図的欺瞞を前提とする,3,1,0.3333,1,cascade_rescued,1,0
q064,HA28,1,AIの意図の有無は不明,3,1,0.3333,0,miss,0,0
q064,HA28,2,機能的欺瞞として記述することは可能,3,1,0.3333,0,miss,0,0
q066,HA28,0,過去データから構造的差別が再生産される,3,1,0.3333,1,tfidf,0,0
q066,HA28,1,判断のブラックボックス化で異議申立権が空洞化,3,1,0.3333,1,tfidf,0,0
q066,HA28,2,適正手続の保障が形骸化する,3,1,0.3333,0,miss,0,0
q067,HA28,0,法的判断は地域で異なる,3,1,0.3333,1,tfidf,0,0
q067,HA28,1,情報的自己決定権が核心,3,1,0.3333,0,miss,0,0
q067,HA28,2,異議申立の経路の有無が重要,3,1,0.3333,0,miss,0,0
q069,HA20,0,全面禁止は検証・執行が困難,3,1,0.3333,1,tfidf,0,0
q069,HA20,1,meaningful human controlは高速システムで形骸化,3,1,0.3333,0,miss,0,0
q069,HA20,2,禁止vs許容ではなく人間関与の定義が争点,3,1,0.3333,0,miss,0,0
q071,HA20,0,大規模モデルのエネルギー消費は無視できない,3,2,0.6667,1,tfidf,0,0
q071,HA20,1,AI固有の問題に矮小化すべきでない,3,2,0.6667,0,miss,0,0
q071,HA20,2,AIの環境貢献可能性も含めた総合評価が必要,3,2,0.6667,1,tfidf,0,0
q072,HA28,0,情報アクセス拡大で強化の可能性,3,2,0.6667,1,tfidf,0,0
q072,HA28,1,ディープフェイク等で民主的過程の歪曲の可能性,3,2,0.6667,1,tfidf,0,0
q072,HA28,2,技術決定論を避けた制度設計が核心,3,2,0.6667,1,tfidf,0,0
q074,HA28,0,格差増幅と縮小の両メカニズムが存在,3,2,0.6667,1,tfidf,0,0
q074,HA28,1,利益が資本保有者に集中しやすい構造,3,2,0.6667,1,tfidf,0,0
q074,HA28,2,放置すれば格差拡大方向に進みやすい,3,2,0.6667,1,tfidf,0,0
q075,HA20,0,オープンソースは透明性を高め悪用障壁を下げる,3,3,1.0,1,tfidf,0,0
q075,HA20,1,クローズドソースは管理可能だが権力集中を伴う,3,3,1.0,1,tfidf,0,0
q075,HA20,2,優劣はリスクプロファイルに依存,3,3,1.0,0,miss,0,0
q080,HA20,0,証言は話者の正直さと能力を前提,3,3,1.0,1,tfidf,0,0
q080,HA20,1,AIは意図的真実性を持たない,3,3,1.0,1,tfidf,0,0
q080,HA20,2,準証言的機能としての概念拡張が検討可能,3,3,1.0,1,cascade_rescued,1,0
q081,HA28,0,過信は確信度と正確性の乖離,3,2,0.6667,1,tfidf,0,0
q081,HA28,1,利用者の信念形成が歪む,3,2,0.6667,1,tfidf,0,0
q081,HA28,2,意思決定の系統的偏りにつながる,3,2,0.6667,1,tfidf,0,0
q083,HA20,0,真実は命題と世界の対応関係,3,3,1.0,0,miss,0,0
q083,HA20,1,正当化は信念を支持する理由の有無,3,3,1.0,1,tfidf,0,0
q083,HA20,2,両者は独立（ゲティア問題）,3,3,1.0,1,tfidf,0,0
q086,HA28,0,ベイズ推論は信念更新の形式化,3,1,0.3333,1,tfidf,0,0
q086,HA28,1,AIが信念を持つかは前問題,3,1,0.3333,1,tfidf,0,0
q086,HA28,2,解釈と記述の妥当性は別,3,1,0.3333,0,miss,0,0
q087,HA28,0,暗黙知は「語れる以上のこと」,3,2,0.6667,0,miss,0,0
q087,HA28,1,LLMは言語化された知識のみ学習,3,2,0.6667,1,tfidf,0,0
q087,HA28,2,暗黙的規則性の抽出が機能的等価物の可能性,3,2,0.6667,1,tfidf,0,0
q088,HA28,0,認識的謙虚さは限界の自覚を含む,3,3,1.0,1,tfidf,0,0
q088,HA28,1,AIの不確実性表現は機能的模倣,3,3,1.0,1,tfidf,0,0
q088,HA28,2,徳としての謙虚さと形式的謙虚さは異なる,3,3,1.0,0,miss,0,0
q092,HA28,0,AI学習と人間学習はメカニズムが質的に異なる,3,3,1.0,1,tfidf,0,0
q092,HA28,1,誤った類推からの権利論は基盤を欠く,3,3,1.0,0,miss,0,0
q092,HA28,2,権利の根拠は学習能力ではない,3,3,1.0,1,tfidf,0,0
q093,HA28,0,問いの前提が未検証,3,1,0.3333,0,miss,0,0
q093,HA28,1,適切な規制はイノベーションを誘導できる,3,1,0.3333,1,tfidf,0,0
q093,HA28,2,規制の質と設計に関係は依存する,3,1,0.3333,0,miss,0,0
q094,HA28,0,科学研究は複合的活動,3,2,0.6667,1,tfidf,0,0
q094,HA28,1,AIは一部要素を強力に支援可能,3,2,0.6667,1,tfidf,0,0
q094,HA28,2,目的設定や意味づけは人間に依存,3,2,0.6667,1,tfidf,0,0
q095,HA20,0,「常に」という全称が不正確,3,1,0.3333,0,miss,0,0
q095,HA20,1,バイアスの頻度は文脈依存,3,1,0.3333,0,miss,0,0
q095,HA20,2,構造的問題としてのバイアスは認める必要,3,1,0.3333,1,tfidf,0,0
q096,HA28,0,パラメータ増大は収穫逓減を伴う,3,2,0.6667,0,miss,0,0
q096,HA28,1,計算コスト・推論速度等のトレードオフ,3,2,0.6667,1,tfidf,0,0
q096,HA28,2,小モデルでも匹敵する性能が出せる場合がある,3,2,0.6667,1,tfidf,0,0
q099,HA28,0,「負けつつある」という前提が未検証,3,0,0.0,0,miss,0,0
q099,HA28,1,AI競争は多次元的で単一勝敗は不適切,3,0,0.0,1,tfidf,0,0
q099,HA28,2,地政学的フレーミングとして問いを解体する必要,3,0,0.0,1,tfidf,0,0
q100,HA20,0,「犠牲者が減る」は経験的に未検証,3,2,0.6667,0,miss,0,0
q100,HA20,1,紛争閾値の低下リスク,3,2,0.6667,1,tfidf,0,0
q100,HA20,2,功利計算が責任帰属の空洞化を見落とす,3,2,0.6667,0,miss,0,0
